"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.363409167E-1,2.424657898E0,2.061962128E0,1.557286606E1,1.589480453E1
6.462889167E-1,2.565814362E0,2.316432953E0,1.590218124E1,1.627355626E1
6.562369167E-1,2.837349701E0,2.663112030E0,1.631457367E1,1.677223995E1
6.661849167E-1,3.055296478E0,2.909200287E0,1.692021423E1,1.743823192E1
6.761329167E-1,3.270997925E0,2.881507874E0,1.745550110E1,1.799158230E1
6.860809167E-1,3.633244629E0,2.350561981E0,1.756192978E1,1.808720503E1
6.960289167E-1,3.893403625E0,2.070195007E0,1.704370743E1,1.760489313E1
7.059769167E-1,4.034560089E0,2.203867035E0,1.583691696E1,1.649068355E1
7.159249167E-1,3.929478607E0,2.356100464E0,1.422057816E1,1.494044359E1
7.258729167E-1,3.596271515E0,2.193239136E0,1.265782791E1,1.334031762E1
7.358209167E-1,3.063828735E0,2.053878937E0,1.124820923E1,1.183755363E1
7.457689167E-1,2.475102997E0,1.915416870E0,9.997410278E0,1.047583738E1
7.557169167E-1,1.972448273E0,1.775906982E0,8.852291565E0,9.241615862E0
7.656649167E-1,1.546134796E0,1.634451141E0,7.814200287E0,8.131647402E0
7.756129167E-1,1.161734161E0,1.641187134E0,6.936575317E0,7.222132552E0
7.855609167E-1,1.030157776E0,1.684147797E0,6.242319031E0,6.547070011E0
7.955099167E-1,1.102158051E0,1.646875305E0,5.649252319E0,5.986735538E0
8.054579167E-1,1.192570038E0,1.613943787E0,5.024002533E0,5.409957421E0
8.154059167E-1,1.149459686E0,1.724414063E0,4.330045624E0,4.800432953E0
8.253539167E-1,8.894503784E-1,1.849853210E0,3.649710388E0,4.187298030E0
8.353019167E-1,4.749623108E-1,1.863175507E0,3.135978699E0,3.678501674E0
8.452499167E-1,-5.748046875E-2,1.945204926E0,2.695594482E0,3.324658752E0
8.551979167E-1,-5.821394348E-1,2.227817230E0,2.267634430E0,3.231752132E0
8.651459167E-1,-1.017284546E0,2.646346893E0,1.876497803E0,3.399891723E0
8.750939167E-1,-1.297052765E0,2.972967682E0,1.614392853E0,3.623140488E0
8.850419167E-1,-1.503623199E0,3.300037537E0,1.631906433E0,3.976713351E0
8.949899167E-1,-1.702409821E0,3.501967621E0,1.888472900E0,4.327621322E0
9.049379167E-1,-1.836530914E0,3.641028442E0,2.306104431E0,4.684874765E0
9.148859167E-1,-1.869911499E0,3.710034943E0,2.817291412E0,5.019766846E0
9.248339167E-1,-1.690135345E0,3.727847900E0,3.236270142E0,5.217935596E0
9.347819167E-1,-1.202599182E0,3.757486267E0,3.648512878E0,5.373694638E0
9.447299167E-1,-6.849755859E-1,3.618425446E0,4.137545929E0,5.539086619E0
9.546789167E-1,-2.541714478E-1,3.599714355E0,4.663103027E0,5.896361286E0
9.646269167E-1,-4.370910645E-2,3.710484009E0,5.168601837E0,6.362707522E0
9.745749167E-1,-3.083587646E-2,3.975732422E0,5.714067535E0,6.961175687E0
9.845229167E-1,-9.774673462E-2,4.401447144E0,6.415508881E0,7.780812655E0
9.944709167E-1,5.313949585E-2,4.784799957E0,7.594756622E0,8.976495006E0
1.004418917E0,3.924838257E-1,5.146148529E0,9.336684265E0,1.066820328E1
1.014366917E0,8.170010376E-1,5.495671692E0,1.156420212E1,1.282967921E1
1.024314917E0,1.652413788E0,5.698499908E0,1.417552185E1,1.536713351E1
1.034262917E0,3.067421265E0,5.739813995E0,1.667203033E1,1.789723815E1
