"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.513995458E0,4.042643280E0,-6.023623810E0,-7.216493225E-1,7.290252824E0
2.523964458E0,4.205953674E0,-6.202352142E0,-7.200027466E-2,7.494291324E0
2.533932458E0,8.071215820E0,-7.750582581E0,3.641627197E0,1.176764649E1
2.543901458E0,1.193557983E1,-9.178762665E0,5.304070129E0,1.596373734E1
2.553869458E0,1.220067856E1,-9.527537384E0,4.913083191E0,1.624096402E1
2.563838458E0,1.020368134E1,-9.271869049E0,4.575535126E0,1.452646516E1
2.573806458E0,7.841293945E0,-8.536598053E0,3.063978424E0,1.198946875E1
2.583774458E0,6.355184326E0,-8.196205902E0,1.244512024E0,1.044581108E1
2.593743458E0,6.368207245E0,-8.045469360E0,-2.445165253E0,1.054810286E1
2.603711458E0,6.958878937E0,-8.584797821E0,-4.998555450E0,1.212890375E1
2.613680458E0,6.309379578E0,-1.300450699E1,-1.039438477E0,1.449158049E1
2.623648458E0,4.807702332E0,-1.723920090E1,-3.041674805E-1,1.789962478E1
2.633616458E0,3.129242706E0,-1.918964493E1,-1.078058167E0,1.947297722E1
2.643585458E0,1.580413513E0,-1.923679688E1,6.601272583E-2,1.930172061E1
2.653553458E0,1.467099152E0,-1.728650253E1,1.007554779E0,1.737788009E1
2.663522458E0,2.238594818E0,-1.408316391E1,1.686842194E0,1.435939585E1
2.673490458E0,1.906884613E0,-1.113085327E1,1.068029022E0,1.134340291E1
2.683459458E0,7.294331360E-1,-9.032666473E0,-2.787203979E-1,9.066356566E0
2.693427458E0,1.999841309E-1,-7.900271301E0,-1.301393738E0,8.009238787E0
2.703395458E0,2.537223816E-1,-7.384743347E0,-1.712888031E0,7.585037558E0
2.713364458E0,5.828878784E-1,-7.144942017E0,-1.949845276E0,7.429121839E0
2.723332458E0,1.450633392E0,-7.676786041E0,-2.171683960E0,8.108858883E0
2.733301458E0,2.891087952E0,-8.852590942E0,-2.185754700E0,9.565786928E0
2.743269458E0,6.134094086E0,-1.037013519E1,-2.140548706E0,1.223718771E1
2.753237458E0,7.745792542E0,-1.018766464E1,-8.155041504E-1,1.282383952E1
2.763206458E0,8.672964478E0,-1.021341110E1,-2.059716797E-1,1.340061579E1
2.773174458E0,7.696095886E0,-1.033870056E1,3.047662354E-1,1.289230405E1
2.783143458E0,6.317313080E0,-9.676926727E0,5.023553467E-1,1.156735563E1
2.793111458E0,5.386548615E0,-9.443262634E0,4.035607910E-1,1.087901542E1
2.803079458E0,5.166805573E0,-9.977052612E0,2.451901245E-1,1.123821947E1
2.813048458E0,4.925207977E0,-1.046249313E1,-4.311035156E-2,1.156387888E1
2.823016458E0,4.337679749E0,-1.065783691E1,-2.686912537E-1,1.150987178E1
2.832985458E0,3.455414429E0,-1.096305222E1,-8.909472656E-1,1.152918860E1
2.842953458E0,3.153791656E0,-1.190384583E1,-1.509760437E0,1.240674509E1
2.852922458E0,3.653901672E0,-1.330119003E1,-1.959724731E0,1.393245042E1
2.862890458E0,3.949536896E0,-1.513367935E1,-2.132315826E0,1.578524194E1
2.872858458E0,3.586990814E0,-1.772149796E1,-1.801653442E0,1.817041408E1
2.882827458E0,2.393522644E0,-2.009122009E1,-9.524693298E-1,2.025569730E1
2.892795458E0,1.091380463E0,-2.227218475E1,6.354286194E-1,2.230796034E1
2.902764458E0,-5.044509888E-2,-2.338407257E1,2.181563416E0,2.348566826E1
2.912732458E0,-1.330882416E0,-2.187955124E1,1.348096619E0,2.196140649E1
2.922700958E0,-1.668729858E0,-1.740400818E1,-5.613327026E-1,1.749283437E1
2.932669958E0,-9.542655945E-1,-1.430739761E1,-2.956501923E0,1.464080438E1
2.942637958E0,4.668791199E-1,-1.444391373E1,-3.569776611E0,1.488582967E1
2.952606958E0,1.929188232E0,-1.321916061E1,-3.052901459E0,1.370358281E1
2.962574958E0,2.799179077E0,-1.152303772E1,-1.924547882E0,1.201331288E1
2.972542958E0,2.426154785E0,-1.135134476E1,-7.464976501E-1,1.163170295E1
2.982511958E0,1.313668213E0,-1.093940140E1,-4.569996643E-1,1.102746915E1
2.992479958E0,7.932005310E-1,-9.980046387E0,-1.691482544E-2,1.001153230E1
3.002448958E0,1.176104279E0,-8.653355255E0,6.752458191E-1,8.758980270E0
3.012416958E0,2.101629639E0,-7.198081512E0,9.166937256E-1,7.554439224E0
3.022385958E0,3.110381927E0,-5.928272095E0,7.741900635E-1,6.739306791E0
3.032353958E0,3.599564667E0,-5.090464325E0,5.364843750E-1,6.257596049E0
3.042321958E0,3.643573151E0,-4.468208313E0,4.038601685E-1,5.779585960E0
3.052290958E0,3.410956879E0,-3.875141602E0,1.929487610E-1,5.166098962E0
3.062258958E0,2.785856781E0,-3.602857819E0,-1.333726501E-1,4.556245245E0
3.072227958E0,2.041005707E0,-3.696862335E0,-1.365161133E-1,4.225060008E0
3.082195958E0,1.301094360E0,-3.996389465E0,1.197509766E-3,4.202853403E0
3.092163958E0,6.553372192E-1,-4.036056976E0,2.526745605E-1,4.096714198E0
3.102132958E0,2.956352234E-1,-3.709136810E0,6.759942627E-1,3.781807016E0
3.112100958E0,-3.607498169E-1,-3.792962494E0,1.159189453E0,3.982514921E0
3.122069958E0,-1.066831512E0,-4.046535187E0,1.603615265E0,4.481535274E0
3.132037958E0,-1.576521606E0,-3.760929108E0,2.331252136E0,4.697312492E0
3.142005958E0,-2.489173737E0,-3.571872253E0,2.856509857E0,5.207101483E0
3.151974958E0,-3.557202759E0,-3.644321594E0,2.753074951E0,5.789144413E0
3.161942958E0,-4.280648346E0,-4.040397949E0,2.318827972E0,6.326589051E0
3.171911958E0,-4.207749939E0,-4.149371338E0,1.366059265E0,6.065357365E0
3.181879958E0,-2.900069275E0,-4.164040833E0,-7.574249268E-2,5.074975348E0
3.191848958E0,-1.000519409E0,-4.870122528E0,-2.071542206E0,5.386132159E0
3.201816958E0,1.163380737E0,-6.164331207E0,-4.392914886E0,7.658337625E0
3.211784958E0,3.641627197E0,-7.972570953E0,-7.168892212E0,1.132326595E1
3.221753958E0,6.536607056E0,-1.069091812E1,-1.273716293E1,1.786780014E1
3.231721958E0,1.124880798E1,-1.449959793E1,-2.278412018E1,2.925560038E1
