"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.399326250E-1,1.396386200E1,-8.225694580E0,7.392976227E0,1.781312973E1
6.499006250E-1,1.528381714E1,-8.096962280E0,9.577383728E0,1.977073958E1
6.598696250E-1,1.785786438E1,-7.926466827E0,1.170670578E1,2.277672401E1
6.698376250E-1,2.070524323E1,-6.294710083E0,1.289897644E1,2.519353221E1
6.798056250E-1,2.275044022E1,-4.478686523E0,1.240275833E1,2.629580912E1
6.897746250E-1,2.300221664E1,-2.559078369E0,1.064750839E1,2.547587658E1
6.997426250E-1,2.266466858E1,-1.639540558E0,8.731343079E0,2.434361614E1
7.097116250E-1,2.350427261E1,-6.352789307E-1,8.047714691E0,2.485196415E1
7.196796250E-1,2.455448868E1,7.045848083E-1,7.770042114E0,2.576417878E1
7.296486250E-1,2.496822830E1,1.581461334E0,7.181915131E0,2.602870242E1
7.396166250E-1,2.356354935E1,2.148781586E0,5.623356171E0,2.432036708E1
7.495846250E-1,2.166295166E1,2.346370697E0,3.459006958E0,2.206249440E1
7.595536250E-1,2.008717850E1,2.683619385E0,1.639091492E0,2.033182662E1
7.695216250E-1,1.904489594E1,3.230432281E0,4.385879517E-1,1.932190760E1
7.794906250E-1,1.812760345E1,3.313060455E0,-4.803511047E-1,1.843412905E1
7.894586250E-1,1.701287155E1,2.662662964E0,-1.117426300E0,1.725619350E1
7.994276250E-1,1.590248062E1,1.691931610E0,-1.281485138E0,1.604349484E1
8.093956250E-1,1.543859528E1,7.550299072E-1,-8.907975769E-1,1.548269403E1
8.193636250E-1,1.524714340E1,2.209405518E-1,-6.023474121E-1,1.526063626E1
8.293326250E-1,1.530716858E1,1.413061523E-1,-8.354127502E-1,1.533059985E1
8.393006250E-1,1.446112793E1,-1.962419128E-1,-1.328637085E0,1.452336078E1
8.492696250E-1,1.363125366E1,-5.773493958E-1,-1.830094299E0,1.376566939E1
8.592376250E-1,1.243434265E1,-8.502319336E-1,-2.567460938E0,1.272507867E1
8.692066250E-1,1.120060822E1,-1.322499847E0,-3.378474426E0,1.177356020E1
8.791746250E-1,1.005668701E1,-2.399510193E0,-3.897594910E0,1.104924653E1
8.891426250E-1,9.302255859E0,-4.329147491E0,-4.354893951E0,1.114623629E1
8.991116250E-1,7.988288269E0,-4.855453033E0,-3.976331177E0,1.015870972E1
9.090796250E-1,6.261179810E0,-6.222709808E0,-3.390150146E0,9.456088408E0
9.190487083E-1,5.669011230E0,-6.275699615E0,-2.955005035E0,8.958467991E0
9.290167083E-1,5.880970459E0,-4.744683380E0,-3.215463409E0,8.212005775E0
9.389857083E-1,5.556145935E0,-3.255879364E0,-3.503464508E0,7.331150772E0
9.489537083E-1,5.385650482E0,-2.379601593E0,-3.764371948E0,6.988435520E0
9.589217083E-1,5.292693787E0,-2.262994080E0,-3.408262482E0,6.689544294E0
9.688907083E-1,5.204527130E0,-1.854643250E0,-2.900069275E0,6.239968432E0
9.788587083E-1,5.246290283E0,-1.457668762E0,-2.306553497E0,5.913421090E0
9.888277083E-1,5.901477814E0,-1.546134796E0,-8.198451233E-1,6.155495043E0
9.987957083E-1,6.427633667E0,-1.534010010E0,1.050964508E0,6.691202259E0
1.008763708E0,6.306834869E0,-2.015109558E0,2.906505890E0,7.230809712E0
1.018732708E0,5.398224335E0,-2.580633545E0,3.442990265E0,6.903236735E0
1.028700708E0,5.365442505E0,-2.872975616E0,2.810256042E0,6.703693101E0
1.038669708E0,5.584736481E0,-2.755170593E0,1.635498962E0,6.438563769E0
1.048637708E0,4.832999725E0,-2.423011322E0,8.479866028E-1,5.472472155E0
1.058606708E0,3.467838593E0,-3.064726868E0,-2.192939758E-1,4.633200311E0
1.068574708E0,3.384611664E0,-3.071612549E0,-1.619033203E0,4.848883199E0
1.078542708E0,4.571643219E0,-2.457589417E0,-1.864373016E0,5.515029846E0
1.088511708E0,5.631589050E0,-3.896996155E0,-1.857637024E0,7.095927675E0
