"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.506955833E-1,-4.537065125E-1,1.213301926E1,1.740924728E1,2.122493573E1
6.606365833E-1,-7.951464844E-1,1.325164307E1,1.670541092E1,2.133797216E1
6.705775833E-1,-1.727407837E-1,1.396191605E1,1.438209229E1,2.004518689E1
6.805185833E-1,9.599537659E-1,1.482337463E1,1.309162582E1,1.980011650E1
6.904595833E-1,5.938151550E-1,1.468117035E1,1.306602905E1,1.966241324E1
7.004005833E-1,6.905140686E-1,1.438134384E1,1.410651535E1,2.015672681E1
7.103415833E-1,6.048921204E-1,1.352467529E1,1.527917679E1,2.041411227E1
7.202825833E-1,7.923023987E-1,1.225112366E1,1.660990952E1,2.065446364E1
7.302235833E-1,7.758366394E-1,1.084404968E1,1.769380554E1,2.076694707E1
7.401645833E-1,4.096980286E-1,9.456584930E0,1.786385193E1,2.021662822E1
7.501055833E-1,1.115180969E-1,8.441994781E0,1.678624283E1,1.878982864E1
7.600465833E-1,2.026785278E-1,7.525600433E0,1.472188568E1,1.653510382E1
7.699875833E-1,6.242019653E-1,6.448739777E0,1.167422333E1,1.335153037E1
7.799285833E-1,1.156495056E0,5.274132385E0,8.604706421E0,1.015849033E1
7.898695833E-1,1.396296387E0,4.095782776E0,6.331383820E0,7.668865706E0
7.998106250E-1,1.348545685E0,3.119962006E0,4.897964630E0,5.961777914E0
8.097516250E-1,1.970352631E0,2.015259247E0,3.898792419E0,4.810835858E0
8.196926250E-1,1.568288727E0,1.130299530E0,3.621568909E0,4.105224466E0
8.296336250E-1,1.839824066E0,5.692662048E-1,3.748954010E0,4.214697234E0
8.395746250E-1,1.565893707E0,-1.661544800E-2,3.577261047E0,3.905009062E0
8.495156250E-1,1.459015961E0,-2.396516418E-1,3.568728790E0,3.862898609E0
8.594566250E-1,1.261127472E0,-1.853146362E-1,3.027454376E0,3.284853728E0
8.693976250E-1,9.978250122E-1,3.399430847E-1,2.591261444E0,2.797472418E0
8.793396250E-1,1.279389496E0,7.370672607E-1,1.464853821E0,2.079880368E0
8.892806250E-1,6.698570251E-1,1.419348450E0,4.153862000E-1,1.623515984E0
8.992216250E-1,1.496887207E-3,2.206711121E0,-2.409988403E-2,2.206843224E0
9.091626250E-1,-7.343728638E-1,2.687062225E0,1.905537415E-1,2.792117052E0
9.191036250E-1,-1.083446960E0,2.791395264E0,8.506809998E-1,3.112780589E0
9.290446250E-1,-1.557511139E0,2.520009613E0,1.972298584E0,3.558967702E0
9.389856250E-1,-1.548978882E0,2.338137817E0,3.292702789E0,4.325287931E0
9.489266250E-1,-9.636959839E-1,2.150727539E0,4.091890869E0,4.722066262E0
9.588676250E-1,-9.375004578E-1,2.002386017E0,4.409530334E0,4.932789742E0
9.688086250E-1,-7.909552002E-1,2.016456757E0,4.726720734E0,5.199384278E0
9.787496250E-1,-2.832110596E-1,2.031425629E0,4.304149475E0,4.767871778E0
9.886906250E-1,-7.460485840E-1,2.181713104E0,3.753594360E0,4.405216360E0
9.986316250E-1,-4.543052673E-1,2.638862457E0,3.418441315E0,4.342318432E0
1.008572625E0,-1.227447510E-2,3.249442749E0,5.135520630E0,6.077219840E0
1.018513625E0,2.520758057E-1,3.493884430E0,6.614894257E0,7.485158425E0
1.028454625E0,-1.315763855E-1,3.265609131E0,6.779102783E0,7.525805597E0
1.038395625E0,1.868115234E-1,3.877087555E0,6.951843567E0,7.962087379E0
1.048336625E0,4.775070190E-2,5.342689819E0,7.264692993E0,9.017892155E0
1.058277625E0,-4.857398987E-1,6.576873322E0,7.117548981E0,9.703128847E0
1.068218625E0,2.309696960E-1,8.300538940E0,7.387886810E0,1.111454746E1
1.078159625E0,-9.250762939E-2,1.018601807E1,7.659272461E0,1.274472347E1
1.088100625E0,-1.772314453E0,1.183019897E1,8.577463074E0,1.471963244E1
1.098041625E0,-1.669178925E0,1.328891556E1,1.055200699E1,1.705069754E1
1.107982625E0,-4.418811035E-1,1.365580261E1,1.322305252E1,1.901381923E1
1.117923625E0,-1.139430542E0,1.279194901E1,1.701706284E1,2.131930320E1
1.127865625E0,-8.108638000E-1,1.185908890E1,1.954365875E1,2.287466037E1
1.137806625E0,-2.435435486E-1,1.178244827E1,2.010843430E1,2.330739219E1
1.147747625E0,2.839595032E-1,1.262759079E1,1.984243744E1,2.352145841E1
1.157688625E0,3.764671326E-1,1.334519852E1,1.946567093E1,2.360399110E1
1.167629625E0,6.147715759E-1,1.373498795E1,1.943648163E1,2.380765961E1
1.177570625E0,2.689157867E0,1.486873032E1,1.967284012E1,2.480587329E1
1.187511625E0,1.837429047E0,1.361808105E1,1.935310501E1,2.373543660E1
1.197452625E0,1.604214020E0,1.305165894E1,1.893637161E1,2.305440247E1
1.207393625E0,5.908213806E-1,1.247146545E1,1.808209808E1,2.197382060E1
1.217334625E0,-7.626640320E-1,1.156510025E1,1.704236023E1,2.061007624E1
1.227275625E0,-1.742975464E0,1.062415695E1,1.581745743E1,1.913380866E1
1.237216625E0,-2.349663849E0,9.547146606E0,1.451696182E1,1.753314316E1
1.247157625E0,-2.785108337E0,8.540190582E0,1.304836578E1,1.584144985E1
1.257098625E0,-2.812351685E0,7.567962341E0,1.101948486E1,1.366061575E1
1.267039625E0,-2.540816345E0,6.417155457E0,8.527616730E0,1.097068270E1
1.276980625E0,-2.063608704E0,5.278623047E0,5.793552246E0,8.104788077E0
1.286921625E0,-1.581611023E0,4.224814453E0,3.352428589E0,5.620438420E0
1.296862625E0,-9.264234924E-1,3.219654694E0,1.332678680E0,3.605616355E0
1.306803625E0,-3.864962769E-1,2.122735748E0,-3.740721130E-1,2.189821083E0
1.316744625E0,9.729766846E-2,1.119821320E0,-1.606758728E0,1.960902913E0
1.326685625E0,4.941224670E-1,4.046086121E-1,-2.309397583E0,2.396076447E0
1.336626625E0,9.512718201E-1,-1.272354126E-1,-2.670596466E0,2.837814724E0
1.346567625E0,1.614991608E0,-5.709127808E-1,-3.026855621E0,3.477929592E0
1.356508625E0,1.987566833E0,-1.061442719E0,-2.969225464E0,3.727382784E0
1.366449625E0,2.083517303E0,-1.343905334E0,-2.682421875E0,3.652740480E0
1.376391625E0,1.966161346E0,-1.362017670E0,-2.278112640E0,3.303131813E0
1.386332625E0,1.756297760E0,-1.281784515E0,-1.730850677E0,2.779100112E0
1.396273625E0,1.495240631E0,-1.154698792E0,-1.059496765E0,2.166011828E0
1.406214625E0,1.439406738E0,-9.235794067E-1,-4.613406372E-1,1.771362713E0
1.416155625E0,1.476978607E0,-7.807763672E-1,2.113604736E-1,1.683968762E0
1.426096625E0,1.506766663E0,-7.258406067E-1,1.101259918E0,2.002489393E0
1.436037625E0,1.629062347E0,-6.941065979E-1,1.951791229E0,2.635359008E0
1.445978625E0,1.439406738E0,-7.177574158E-1,2.909948730E0,3.324886326E0
1.455919625E0,1.308728485E0,-7.223977661E-1,3.860023041E0,4.139372737E0
1.465860625E0,1.472038879E0,-7.153623962E-1,4.435276794E0,4.727612724E0
1.475801625E0,1.397194519E0,-5.852828979E-1,4.758754120E0,4.994041386E0
1.485742625E0,1.077459412E0,-2.577639771E-1,4.981490936E0,5.103196351E0
1.495683625E0,7.888595581E-1,2.375559998E-1,5.223387909E0,5.287959295E0
1.505624625E0,4.700225830E-1,9.207353210E-1,5.551804962E0,5.647230569E0
1.515565625E0,2.604583740E-1,1.922003174E0,5.826184387E0,6.140550405E0
1.525506625E0,5.306465149E-1,3.182082825E0,6.194718018E0,6.984394615E0
1.535447625E0,1.048719177E0,4.742737427E0,6.613846436E0,8.205871976E0
1.545388625E0,1.876348114E0,6.722071381E0,6.919660492E0,9.827951323E0
1.555329625E0,2.310744781E0,8.635691986E0,7.430099030E0,1.162415972E1
1.565270625E0,2.041454773E0,9.945617981E0,8.513396301E0,1.324993476E1
1.575211625E0,1.075513458E0,1.080093933E1,1.063164139E1,1.519370982E1
1.585152625E0,8.029302979E-1,1.186597458E1,1.362541580E1,1.808585098E1
1.595093625E0,1.332678680E0,1.271710464E1,1.682620972E1,2.113343598E1
1.605034625E0,1.762734375E0,1.216101105E1,1.908635971E1,2.269992399E1
1.614975625E0,2.211650848E0,1.155387360E1,2.003104523E1,2.322985509E1
1.624916625E0,2.497256927E0,1.236368958E1,1.966355942E1,2.336135015E1
1.634857625E0,2.741698608E0,1.379725845E1,1.803599396E1,2.287309184E1
1.644799625E0,2.934946747E0,1.454270828E1,1.637669449E1,2.209752020E1
1.654740625E0,3.287313995E0,1.488459732E1,1.584080887E1,2.198383261E1
1.664681625E0,3.845353546E0,1.494342499E1,1.585143677E1,2.212149954E1
1.674622625E0,4.041146393E0,1.446771423E1,1.545296539E1,2.155086445E1
1.684563625E0,3.711831207E0,1.348800156E1,1.472832230E1,2.031323102E1
1.694504625E0,3.207679596E0,1.200892731E1,1.418704788E1,1.886202192E1
1.704445625E0,3.087629242E0,1.023376877E1,1.393661865E1,1.756396359E1
1.714386625E0,3.034040680E0,8.539292450E0,1.386491776E1,1.656384203E1
1.724327625E0,2.503394165E0,7.427105255E0,1.353485413E1,1.564036927E1
1.734268625E0,1.468446350E0,6.844067688E0,1.282757492E1,1.461315420E1
1.744209625E0,1.478924561E-1,6.435118103E0,1.131377289E1,1.301668445E1
1.754150625E0,-1.267863464E0,6.187682648E0,9.042545929E0,1.103007394E1
1.764091625E0,-2.271825714E0,5.970933380E0,6.714437256E0,9.268058328E0
1.774032625E0,-2.674638062E0,5.402714996E0,4.959935760E0,7.806662593E0
1.783973625E0,-2.546504517E0,4.386478271E0,3.774700470E0,6.322518526E0
1.793914625E0,-2.190844116E0,3.108136597E0,3.233126678E0,4.991334407E0
1.803856458E0,-1.603764954E0,2.054477692E0,3.272794189E0,4.183792827E0
1.813797458E0,-8.469387817E-1,1.571581879E0,3.571423187E0,3.992773282E0
1.823738458E0,-1.348695374E-1,1.433568878E0,3.818708954E0,4.081157629E0
1.833679458E0,2.415975952E-1,1.369651794E0,3.621419220E0,3.879303108E0
1.843620458E0,1.122665405E-1,1.282233582E0,2.937042389E0,3.206703093E0
1.853561458E0,-4.960684204E-1,1.335073700E0,1.790127411E0,2.287588645E0
1.863502458E0,-1.268911285E0,1.738035736E0,5.490582275E-1,2.220893741E0
1.873443458E0,-1.909129944E0,2.399061127E0,-4.412823486E-1,3.097579949E0
1.883384458E0,-1.972448273E0,2.930605774E0,-9.560618591E-1,3.659652534E0
1.893325458E0,-1.629511414E0,2.965932312E0,-9.428892517E-1,3.512990474E0
1.903267458E0,-9.702822876E-1,2.566712494E0,-5.918692017E-1,2.807092784E0
1.913208458E0,-5.942642212E-2,1.821562042E0,3.894900513E-1,1.863685133E0
1.923149458E0,6.902146912E-1,9.554631042E-1,1.820514221E0,2.168773407E0
1.933090458E0,1.255139923E0,2.544708252E-1,3.002905426E0,3.264593792E0
1.943031458E0,1.503623199E0,-7.559280396E-2,3.865112457E0,4.147974362E0
1.952972458E0,1.280437317E0,1.317260742E-2,4.490960999E0,4.669949029E0
1.962913458E0,6.936575317E-1,4.499642944E-1,4.942122803E0,5.010808960E0
1.972854458E0,-1.895059204E-1,1.073866882E0,5.501509552E0,5.608539019E0
1.982795458E0,-1.010398865E0,1.771715698E0,5.971681824E0,6.310377658E0
1.992736458E0,-1.254241791E0,2.570305023E0,6.282585297E0,6.902931869E0
2.002677458E0,-6.309379578E-1,3.601959686E0,6.424939270E0,7.392701868E0
2.012618458E0,7.580236816E-1,4.615651703E0,6.578220520E0,8.071668090E0
2.022559458E0,2.247725830E0,5.698799286E0,6.781946869E0,9.139113088E0
2.032500458E0,3.585493927E0,7.324119415E0,7.082521820E0,1.080095400E1
2.042441458E0,4.303251343E0,8.998387756E0,7.741301880E0,1.262603299E1
2.052382458E0,3.641178131E0,1.023017624E1,9.362730103E0,1.433790079E1
2.062323458E0,2.515069885E0,1.172391998E1,1.210023743E1,1.703501165E1
2.072264458E0,1.510957947E0,1.297861084E1,1.545955170E1,2.024166673E1
2.082205458E0,4.311035156E-1,1.270991959E1,1.850062775E1,2.244996956E1
2.092146458E0,-2.844085693E-1,1.185295166E1,2.031126251E1,2.351851900E1
2.102087458E0,3.905378723E-1,1.206715622E1,2.049582870E1,2.378755501E1
2.112028458E0,1.439107361E0,1.263582367E1,1.915267181E1,2.299043078E1
2.121969458E0,2.103126526E0,1.269779480E1,1.742152176E1,2.166025287E1
2.131910458E0,2.989134064E0,1.265752853E1,1.652563477E1,2.102961140E1
2.141851458E0,3.513194275E0,1.245260468E1,1.619482269E1,2.072877660E1
2.151792458E0,3.463198242E0,1.204754700E1,1.577464645E1,2.014886105E1
2.161733458E0,3.282673645E0,1.147109573E1,1.510778320E1,1.925115833E1
2.171674458E0,2.700983276E0,1.047985703E1,1.450483704E1,1.809732056E1
2.181616458E0,1.738784180E0,9.300609283E0,1.411938858E1,1.699652427E1
2.191557458E0,6.186634827E-1,8.213569794E0,1.368738693E1,1.597466852E1
2.201498458E0,-6.433621216E-1,7.314090271E0,1.287128403E1,1.481822472E1
2.211439458E0,-1.595831451E0,6.636898499E0,1.169517975E1,1.354150394E1
2.221380458E0,-2.058818665E0,6.000871124E0,1.006491989E1,1.189755441E1
2.231321458E0,-2.067650299E0,5.382956085E0,8.158783722E0,9.990853106E0
2.241262458E0,-1.757644958E0,4.588258667E0,6.192322998E0,7.904827481E0
2.251203458E0,-1.308429108E0,3.695964203E0,4.397255859E0,5.891349354E0
2.261144458E0,-8.940907288E-1,2.844235382E0,3.030148773E0,4.250985148E0
2.271085458E0,-6.611750793E-1,1.986818390E0,2.113305359E0,2.975005771E0
2.281026458E0,-5.147795105E-1,1.125808868E0,1.607806549E0,2.029158804E0
2.290967458E0,-1.916015625E-1,4.808001709E-1,1.368154907E0,1.462780849E0
2.300908458E0,3.538641357E-1,2.409988403E-2,9.388476562E-1,1.003611256E0
2.310849458E0,5.186714172E-1,-2.745291138E-1,6.069877625E-1,8.442869282E-1
2.320790458E0,5.312452698E-1,-2.616558838E-1,4.468208313E-1,7.418451277E-1
2.330731458E0,2.734812927E-1,5.388793945E-3,2.918930054E-1,4.000282279E-1
2.340672458E0,-7.813751221E-2,3.787124634E-1,1.901046753E-2,3.871562974E-1
2.350613458E0,-2.279759216E-1,7.325765991E-1,-4.369413757E-1,8.829265316E-1
2.360554458E0,-2.960842896E-1,1.056203613E0,-9.786648560E-1,1.470039754E0
2.370495458E0,-2.534230042E-1,1.288370819E0,-1.211131439E0,1.786326384E0
