"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.459417500E-1,-1.599573669E0,3.213068390E0,9.576335907E0,1.022685943E1
6.558907500E-1,-1.602717133E0,3.230432281E0,9.501491547E0,1.016281145E1
6.658407500E-1,-1.582060089E0,3.212918701E0,9.381890259E0,1.004219227E1
6.757907500E-1,-1.610950012E0,3.230282593E0,9.309740295E0,9.985046316E0
6.857397500E-1,-1.622625732E0,3.248694305E0,9.269623718E0,9.955543824E0
6.956897500E-1,-1.521735535E0,3.237168274E0,9.234147491E0,9.902747970E0
7.056387500E-1,-1.480720825E0,3.225342865E0,9.258097687E0,9.915026149E0
7.155887500E-1,-1.489253082E0,3.238365784E0,9.260193329E0,9.922503121E0
7.255377500E-1,-1.562750244E0,3.259322205E0,9.257199554E0,9.937862605E0
7.354877500E-1,-1.687440948E0,3.295247498E0,9.236243134E0,9.950592960E0
7.454367500E-1,-1.762884064E0,3.341351624E0,9.220675507E0,9.964599726E0
7.553867500E-1,-1.744172974E0,3.357518005E0,9.252409515E0,9.996106660E0
7.653357500E-1,-1.672921143E0,3.343297577E0,9.333840179E0,1.005469424E1
7.752857500E-1,-1.582658844E0,3.322041779E0,9.353898468E0,1.005167584E1
7.852357500E-1,-1.603615265E0,3.286715240E0,9.381291504E0,1.006889812E1
7.951847500E-1,-1.746118927E0,3.271297302E0,9.446555786E0,1.014828722E1
8.051347500E-1,-1.942959595E0,3.313659210E0,9.276060333E0,1.003995641E1
8.150837500E-1,-2.210153961E0,3.395538940E0,9.292526093E0,1.013733231E1
8.250337500E-1,-2.567460938E0,3.485801239E0,9.666448517E0,1.059164260E1
8.349827500E-1,-3.011287994E0,3.601959686E0,1.017179764E1,1.120301014E1
8.449327500E-1,-3.503314819E0,3.732637939E0,1.042746597E1,1.161627511E1
8.548817500E-1,-3.873794403E0,3.865711212E0,1.077204941E1,1.208251028E1
8.648317500E-1,-4.292024689E0,4.041894836E0,1.131077911E1,1.275508189E1
8.747807500E-1,-4.297263794E0,4.067641296E0,1.190579178E1,1.329511413E1
8.847307500E-1,-3.238964539E0,3.151845703E0,1.222073685E1,1.302963667E1
8.946807500E-1,-1.546733551E0,2.651735687E0,1.296962952E1,1.332799222E1
9.046297500E-1,3.885919189E-1,2.507286072E0,1.413959656E1,1.436543344E1
9.145797500E-1,2.111209717E0,3.387006683E0,1.383632721E1,1.440045039E1
9.245287500E-1,3.491788788E0,2.876119080E0,1.275916718E1,1.353739254E1
9.344787500E-1,3.290457458E0,1.428479462E0,1.221834183E1,1.273403082E1
9.444277500E-1,2.587968292E0,4.153862000E-1,1.196417038E1,1.224791813E1
9.543777500E-1,1.739682312E0,-3.427871704E-1,1.108085724E1,1.122182671E1
9.643267500E-1,7.511380005E-1,-8.806187439E-1,9.959239655E0,1.002627309E1
9.742767500E-1,-1.287322998E-2,-1.234632568E0,9.113947449E0,9.197201824E0
9.842257500E-1,-5.739065552E-1,-1.336420898E0,8.205187225E0,8.333095881E0
9.941757500E-1,-7.213499451E-1,-1.155596924E0,7.307503967E0,7.433395202E0
1.004125750E0,-7.535330200E-1,-6.930587769E-1,6.290818176E0,6.373581082E0
1.014074750E0,-1.072519684E0,-1.315763855E-1,5.465733948E0,5.571522091E0
1.024024750E0,-1.611548767E0,3.329077148E-1,4.661157074E0,4.943106538E0
1.033973750E0,-4.021836548E0,3.300636292E-1,3.224295044E0,5.165286996E0
1.043923750E0,-1.307216629E1,-1.161434784E0,3.650309143E0,1.362186548E1
1.053872750E0,-1.860376328E1,-2.152074738E0,4.777614899E0,1.932762370E1
1.063822750E0,-1.026819717E1,8.996292114E-2,4.742887115E0,1.131100989E1
1.073771750E0,-1.008901978E-1,1.587149506E0,5.745801544E0,5.961833424E0
1.083721750E0,1.600771179E0,1.660197601E0,7.160659332E0,7.522882859E0
1.093670750E0,2.189945984E-1,4.129911804E-1,9.107510834E0,9.119499654E0
