"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.410218333E-1,-1.404888519E1,-1.996997223E0,1.277293854E0,1.424747882E1
6.509638333E-1,-1.488504639E1,-2.083517303E0,2.458786926E0,1.522994693E1
6.609058333E-1,-1.509146713E1,-2.405198364E0,3.264411621E0,1.562669967E1
6.708478333E-1,-1.505194931E1,-2.852019196E0,3.722159729E0,1.576545796E1
6.807898333E-1,-1.534503983E1,-3.291505280E0,3.712429962E0,1.612719413E1
6.907318333E-1,-1.600816086E1,-3.528462524E0,3.501967621E0,1.676231008E1
7.006738333E-1,-1.612401993E1,-3.573818207E0,3.107388153E0,1.680511994E1
7.106158333E-1,-1.585338272E1,-3.849694519E0,2.596201172E0,1.651938716E1
7.205578333E-1,-1.580458420E1,-4.512216797E0,2.060465240E0,1.656473661E1
7.304998333E-1,-1.596774490E1,-5.241649933E0,1.739382935E0,1.689583453E1
7.404418333E-1,-1.641636200E1,-5.604645081E0,1.650168457E0,1.742504071E1
7.503838333E-1,-1.720477249E1,-5.495522003E0,1.633553009E0,1.813486846E1
7.603258333E-1,-1.810065948E1,-5.065017242E0,1.637893982E0,1.886719296E1
7.702678333E-1,-1.892140274E1,-4.330195312E0,1.728904724E0,1.948741093E1
7.802098333E-1,-1.966116440E1,-3.327580261E0,1.733994141E0,2.001601638E1
7.901518333E-1,-2.006173141E1,-2.314487000E0,1.442400513E0,2.024624500E1
8.000938333E-1,-1.984198837E1,-1.391206970E0,1.188678131E0,1.992618667E1
8.100358333E-1,-1.928454758E1,-6.836283875E-1,6.936575317E-1,1.930912437E1
8.199778333E-1,-1.854658218E1,-3.438349915E-1,-8.741821289E-2,1.854997507E1
8.299198333E-1,-1.773646683E1,-2.098635864E-1,-9.003776550E-1,1.776054555E1
8.398618333E-1,-1.682141968E1,-1.438508606E-1,-1.522933044E0,1.689083118E1
8.498038333E-1,-1.579889603E1,-2.127076721E-1,-1.837279358E0,1.590678961E1
8.597458333E-1,-1.479388596E1,-3.613485718E-1,-1.847458191E0,1.491317324E1
8.696878333E-1,-1.411265259E1,-5.465135193E-1,-1.677711182E0,1.422252983E1
8.796298333E-1,-1.401954620E1,-6.424639893E-1,-1.630110168E0,1.412861263E1
8.895718333E-1,-1.377181137E1,-4.776567078E-1,-1.718276825E0,1.388680739E1
8.995138333E-1,-1.346300354E1,-1.550775146E-1,-1.659149780E0,1.356573962E1
9.094558333E-1,-1.335597610E1,-1.466949463E-2,-1.720821533E0,1.346638555E1
9.193978333E-1,-1.297172516E1,-2.874023438E-2,-1.907633057E0,1.311127543E1
9.293398333E-1,-1.255993149E1,-1.273851013E-1,-2.069296875E0,1.272988985E1
9.392818333E-1,-1.221400085E1,-2.457888794E-1,-2.181413727E0,1.240970567E1
9.492238333E-1,-1.192031158E1,-3.032693481E-1,-2.150577850E0,1.211655007E1
9.591658333E-1,-1.193543015E1,-3.209326172E-1,-1.987117767E0,1.210397156E1
9.691078333E-1,-1.195683563E1,-2.252815247E-1,-1.729204102E0,1.208332806E1
9.790498333E-1,-1.175161240E1,-1.315763855E-1,-1.266516266E0,1.182039634E1
9.889918334E-1,-1.174801987E1,7.828720093E-2,-1.031205597E0,1.179345092E1
9.989338333E-1,-1.180430283E1,4.861889648E-1,-8.702902222E-1,1.184632221E1
1.008875833E0,-1.179651901E1,7.711962891E-1,-7.318281555E-1,1.184433101E1
1.018817833E0,-1.168200714E1,6.741979980E-1,-9.900411987E-1,1.174325404E1
1.028759833E0,-1.144894180E1,2.633024597E-1,-1.317560120E0,1.152751323E1
1.038701833E0,-1.119192627E1,-2.115101624E-1,-1.466799774E0,1.128961699E1
1.048643833E0,-1.078761703E1,-5.797444153E-1,-1.546284485E0,1.091328459E1
1.058585833E0,-1.021805145E1,-9.641450500E-1,-1.724713440E0,1.040734297E1
1.068527833E0,-9.185947723E0,-2.195484467E0,-1.932930450E0,9.640436077E0
1.078469833E0,-9.464967499E0,-2.241588593E0,-2.048041077E0,9.940060434E0
1.088411833E0,-1.057146652E1,-1.625769196E0,-1.903741150E0,1.086385108E1
1.098353833E0,-1.090856552E1,-1.834584961E0,-1.905836792E0,1.122473686E1
1.108295833E0,-1.129925308E1,-2.241887970E0,-2.209255829E0,1.172944983E1
1.118237833E0,-1.215472412E1,-2.381397858E0,-2.283052368E0,1.259447110E1
1.128179833E0,-1.229363525E1,-2.609822845E0,-2.359842682E0,1.278723975E1
1.138121833E0,-1.169996979E1,-3.309168549E0,-2.367776184E0,1.238734247E1
1.148063833E0,-1.116423386E1,-3.779939575E0,-2.367476807E0,1.202218812E1
1.158005833E0,-1.087862778E1,-3.895948334E0,-2.157014465E0,1.175481464E1
