"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.506482917E-1,1.095362183E1,4.980592804E0,-4.631668396E0,1.289342809E1
6.606152917E-1,8.477770386E0,1.127904510E0,-2.754122772E0,8.984984783E0
6.705822917E-1,7.137906647E0,-1.404529266E0,-2.104623413E0,7.573100651E0
6.805492917E-1,6.563401337E0,-2.550695801E0,-1.649569702E0,7.232244906E0
6.905162917E-1,6.487958221E0,-2.483635254E0,-5.295986938E-1,6.967246281E0
7.004832917E-1,6.307583313E0,-1.829345856E0,-7.244934082E-2,6.567903959E0
7.104502917E-1,5.858966217E0,-1.231489105E0,-3.183879089E-1,5.995450059E0
7.204172917E-1,5.979914703E0,-9.943821716E-1,-3.189866638E-1,6.070414175E0
7.303842917E-1,5.993835754E0,-9.354048157E-1,4.116439819E-2,6.066526496E0
7.403502917E-1,6.037245483E0,-9.436376953E-1,7.400610352E-1,6.155199060E0
7.503172917E-1,6.362219696E0,-1.300495605E0,1.647474060E0,6.699499911E0
7.602842917E-1,6.476881256E0,-1.675016785E0,1.901944885E0,6.955074865E0
7.702512917E-1,6.386469269E0,-1.538500671E0,1.767524414E0,6.802802113E0
7.802182917E-1,6.956783295E0,-1.443298645E0,2.040706329E0,7.392186896E0
7.901852917E-1,8.039631500E0,-2.207160187E0,2.428250427E0,8.683526409E0
8.001522917E-1,8.912616119E0,-1.762434998E0,2.386487274E0,9.393413901E0
8.101192917E-1,9.924362183E0,-1.706900482E0,1.633253632E0,1.020166611E1
8.200862917E-1,9.632768555E0,-8.488847351E-1,7.000941467E-1,9.695409591E0
8.300532917E-1,1.035052597E1,9.131011963E-2,-1.869612122E-1,1.035261706E1
8.400202917E-1,1.325254120E1,-4.665797424E-1,-1.606159973E-1,1.326172471E1
8.499872917E-1,1.306064026E1,-1.138532410E0,7.691006470E-1,1.313271091E1
8.599542917E-1,1.296468979E1,-1.933678894E0,7.092251587E-1,1.312727297E1
8.699212917E-1,1.290765839E1,-2.736459503E0,3.378474426E-1,1.319886346E1
8.798882917E-1,1.155058044E1,-2.599943390E0,-1.615141296E-1,1.184067992E1
8.898552917E-1,1.104223755E1,-2.981949005E0,-1.880090332E-1,1.143933466E1
8.998222917E-1,1.136481674E1,-3.627855835E0,-5.519023132E-1,1.194257065E1
9.097892917E-1,1.147858017E1,-4.022734680E0,-9.922865295E-1,1.220347613E1
9.197562917E-1,1.183319275E1,-3.435954895E0,-7.620652771E-1,1.234548420E1
9.297232917E-1,1.242581039E1,-3.294199677E0,-6.373745728E-1,1.287084930E1
9.396902917E-1,1.356015152E1,-4.092639313E0,5.164260864E-2,1.416439454E1
9.496572917E-1,1.504835678E1,-4.449197845E0,5.044509888E-1,1.570041000E1
9.596232917E-1,1.618239853E1,-4.220323792E0,5.920188904E-1,1.673414597E1
9.695902917E-1,1.615066452E1,-4.256249084E0,6.661148071E-1,1.671536209E1
9.795572917E-1,1.519505173E1,-4.893174591E0,9.131011963E-1,1.598957499E1
9.895242917E-1,1.431787582E1,-5.959706726E0,1.281185760E0,1.556152657E1
9.994912917E-1,1.282203644E1,-7.130122833E0,1.315763855E0,1.473005447E1
1.009458292E0,1.195429092E1,-7.156168671E0,1.117426300E0,1.397728382E1
1.019425292E0,1.157303375E1,-5.822442169E0,1.488504639E0,1.304038301E1
1.029392292E0,9.592502289E0,-5.657784576E0,7.385641479E-1,1.116118737E1
1.039359292E0,6.940018158E0,-5.529351654E0,-9.499246216E-1,8.924121163E0
1.049326292E0,4.236789551E0,-4.466711426E0,-1.719624023E0,6.392104774E0
1.059293292E0,3.457809448E0,-3.913012848E0,-1.034648438E0,5.323402400E0
1.069260292E0,3.395838318E0,-3.494333496E0,-1.520837402E-1,4.874957838E0
1.079227292E0,3.965403900E0,-3.287763062E0,2.829116821E-2,5.151176024E0
1.089194292E0,4.287683716E0,-3.525319061E0,4.388873291E-1,5.568188953E0
1.099161292E0,4.412524109E0,-4.144880676E0,1.374741211E0,6.208084908E0
1.109128292E0,4.853656769E0,-4.362528076E0,2.503693542E0,6.989858124E0
1.119095292E0,5.380112000E0,-4.668641510E0,3.281176758E0,7.842699764E0
1.129062292E0,5.162015533E0,-5.117857361E0,3.223995667E0,7.951919038E0
1.139029292E0,5.073998566E0,-5.713917847E0,2.924767914E0,8.182211556E0
1.148996292E0,4.900808716E0,-6.251300354E0,2.843786316E0,8.437049413E0
1.158963292E0,4.073479156E0,-6.496939545E0,2.821782074E0,8.171040935E0
1.168930292E0,3.019520874E0,-6.727160797E0,2.595153351E0,7.817097902E0
1.178897292E0,2.151326294E0,-7.069498901E0,2.317031708E0,7.744330538E0
1.188864292E0,1.977687378E0,-7.486531677E0,2.407144318E0,8.108868459E0
1.198830292E0,2.244881744E0,-7.645650787E0,2.731669464E0,8.423626776E0
1.208797292E0,2.775228882E0,-7.490273895E0,3.188369751E0,8.600686022E0
1.218764292E0,3.422333221E0,-7.404651947E0,3.419189758E0,8.844890827E0
1.228731292E0,4.064348145E0,-7.461833038E0,3.475921783E0,9.180409053E0
1.238698292E0,4.442012787E0,-7.558831329E0,3.344345398E0,9.383605640E0
1.248665292E0,4.791086884E0,-7.567064209E0,3.155737610E0,9.495980946E0
1.258632292E0,5.420078888E0,-7.491770782E0,2.296973419E0,9.527852407E0
1.268599292E0,6.856791229E0,-7.978259125E0,-1.622176666E0,1.064423138E1
1.278566292E0,7.786807251E0,-8.406069489E0,-1.716181183E0,1.158626986E1
1.288533292E0,7.361691284E0,-7.847131805E0,8.963360596E-1,1.079700859E1
1.298500292E0,7.098688202E0,-6.830895081E0,1.465751953E0,9.959966394E0
1.308467292E0,6.925348663E0,-6.024821320E0,8.728349304E-1,9.220670629E0
1.318434292E0,6.888225861E0,-5.739664307E0,-1.038839722E-1,8.966727036E0
1.328401292E0,7.264243927E0,-5.875581665E0,-1.117426300E0,9.409587731E0
1.338368292E0,8.171507263E0,-6.325845337E0,-1.999990997E0,1.052567405E1
1.348335292E0,9.060059509E0,-6.761589203E0,-2.448757782E0,1.156720284E1
1.358302292E0,9.448801117E0,-7.258106689E0,-2.677033081E0,1.221173458E1
1.368269292E0,9.748328247E0,-8.024662628E0,-2.749931488E0,1.292235416E1
1.378236292E0,1.040546173E1,-8.929830322E0,-2.862497406E0,1.400747639E1
1.388203292E0,1.033450928E1,-9.730215912E0,-3.014431458E0,1.451089180E1
1.398170292E0,9.450298004E0,-1.028226791E1,-3.239114227E0,1.433614407E1
1.408137292E0,7.991581421E0,-1.037387741E1,-3.163970490E0,1.347194921E1
1.418104292E0,6.682254181E0,-9.875264282E0,-2.733166351E0,1.223288862E1
1.428071542E0,5.912105713E0,-9.389524384E0,-2.041754150E0,1.128206196E1
1.438038542E0,5.127138062E0,-9.262887726E0,-1.316362610E0,1.066871334E1
1.448005542E0,3.922443237E0,-9.609716492E0,-9.119036865E-1,1.041939443E1
1.457971542E0,2.357297974E0,-1.022164398E1,-6.007008362E-1,1.050712620E1
1.467938542E0,1.047671356E0,-1.022733215E1,-2.570155334E-1,1.028406511E1
1.477905542E0,6.264472961E-1,-9.917027435E0,-5.132826233E-1,9.950041629E0
1.487872542E0,9.003776550E-1,-9.672136688E0,-4.751119995E-1,9.725566279E0
1.497839542E0,1.285676422E0,-9.440119171E0,-3.873944092E-1,9.535139656E0
1.507806542E0,1.821412354E0,-9.166937256E0,-6.715036011E-1,9.370229384E0
1.517773542E0,2.660118256E0,-9.107211456E0,-6.655160522E-1,9.511069407E0
1.527740542E0,3.651506653E0,-8.975784760E0,-3.336561584E-1,9.695851655E0
1.537707542E0,4.663252716E0,-8.602910156E0,5.403762817E-1,9.800407929E0
1.547674542E0,5.427413635E0,-8.172555084E0,1.741927643E0,9.964024653E0
1.557641542E0,6.035598907E0,-8.762029266E0,3.184178467E0,1.110588148E1
1.567608542E0,5.676345978E0,-9.491612091E0,3.452869720E0,1.158593600E1
1.577575542E0,5.368585968E0,-8.877139893E0,2.371817780E0,1.064193815E1
1.587542542E0,5.763015747E0,-7.629634094E0,1.591640167E0,9.693141149E0
1.597509542E0,5.483546906E0,-6.035598907E0,4.526586914E-1,8.167168465E0
1.607476542E0,4.596192169E0,-4.346511383E0,-1.669627991E0,6.542537832E0
1.617443542E0,4.444557495E0,-3.804189148E0,-3.179837494E0,6.658626952E0
1.627410542E0,3.975882111E0,-4.160148926E0,-3.897744598E0,6.950315863E0
1.637377542E0,3.072360992E0,-5.199587402E0,-3.139271851E0,6.806624639E0
1.647344542E0,1.763782196E0,-6.506220245E0,-1.780697021E0,6.972281649E0
1.657311542E0,1.186133423E0,-7.647596741E0,-9.716294861E-1,7.799789245E0
1.667278542E0,1.717229004E0,-8.786578217E0,-2.505789185E-1,8.956317435E0
1.677245542E0,3.025358734E0,-9.955497437E0,4.983137512E-1,1.041695931E1
1.687212542E0,2.821632385E0,-6.834188232E0,6.262976074E-1,7.420241695E0
1.697179542E0,3.966302032E0,-1.922901306E0,-3.113525391E-1,4.418828086E0
1.707146542E0,1.002180954E1,-5.360802155E0,3.025658112E0,1.176135507E1
1.717112542E0,1.243718674E1,-7.277715912E0,1.486858063E0,1.448652856E1
1.727079542E0,1.223166412E1,-7.870333557E0,-2.711611176E0,1.479555990E1
1.737046542E0,1.218032089E1,-8.499624939E0,-4.562512207E0,1.553770764E1
1.747013542E0,1.227642105E1,-1.009186386E1,-5.204078064E0,1.672239990E1
1.756980542E0,9.864337006E0,-1.093925171E1,-5.857169952E0,1.585177632E1
1.766947542E0,7.034621429E0,-1.188902664E1,-4.321812744E0,1.447456108E1
1.776914542E0,4.990472260E0,-1.235470825E1,-1.984273682E0,1.347148735E1
